Year;Month;Day;Wind_Speed_Max_ms;Wind_Max_Direction_Dg
2000;12;24;8,2;96
2000;12;25;6,3;247
2000;12;26;3,6;242
2000;12;27;4,5;112
2000;12;28;6,3;67
2000;12;29;5,3;208
2000;12;30;5,8;281
2000;12;31;6,3;236
2001;1;1;10,8;163
2001;1;2;12,5;107
2001;1;3;4,1;253
2001;1;4;11,2;141
2001;1;5;17,2;163
2001;1;6;12,9;157
2001;1;7;3,4;73
2001;1;8;5,8;22
2001;1;9;9,2;332
2001;1;10;4,4;219
2001;1;11;8;349
2001;1;12;5;39
2001;1;13;7,7;56
2001;1;14;4,4;107
2001;1;15;5,2;39
2001;1;16;4,1;332
2001;1;17;8,5;180
2001;1;18;14,5;163
2001;1;19;11;157
2001;1;20;7;174
2001;1;21;6,7;152
2001;1;22;11,3;118
2001;1;23;13,5;118
2001;1;24;21,2;163
2001;1;25;16,8;163
2001;1;26;13,8;157
2001;1;27;9,2;157
2001;1;28;8,2;208
2001;1;29;5;118
2001;1;30;12;17
2001;1;31;12,4;349
2001;2;1;13,4;22
2001;2;2;11;281
2001;2;3;2,6;118
2001;2;4;7,6;197
2001;2;5;11,9;219
2001;2;6;11,2;174
2001;2;7;12,1;124
2001;2;8;13,9;169
2001;2;9;10,6;174
2001;2;10;7,8;11
2001;2;11;5,3;349
2001;2;12;8,5;169
2001;2;13;9,2;17
2001;2;14;8,6;11
2001;2;15;5,8;236
2001;2;16;4,9;270
2001;2;17;10,6;22
2001;2;18;14,9;337
2001;2;19;11,5;321
2001;2;20;15,1;281
2001;2;21;14,2;270
2001;2;22;21,3;292
2001;2;23;8,8;270
2001;2;24;7,5;281
2001;2;25;3,4;28
2001;2;26;6,5;349
2001;2;27;8,7;135
2001;2;28;16,5;163
2001;3;1;13,8;118
2001;3;2;11;124
2001;3;3;17,6;157
2001;3;4;8,7;236
2001;3;5;12,7;276
2001;3;6;6,5;360
2001;3;7;13,3;163
2001;3;8;16;141
2001;3;9;14,4;152
2001;3;10;7,4;197
2001;3;11;11,4;264
2001;3;12;15;163
2001;3;13;10,7;141
2001;3;14;12,4;276
2001;3;15;11;208
2001;3;16;4,9;197
2001;3;17;11,4;118
2001;3;18;4,6;34
2001;3;19;18,1;292
2001;3;20;13,5;287
2001;3;21;6,6;34
2001;3;22;5,6;169
2001;3;23;5,7;107
2001;3;24;2,6;242
2001;3;25;6,1;219
2001;3;26;9,3;349
2001;3;27;8,5;6
2001;3;28;8,6;157
2001;3;29;15,7;152
2001;3;30;15,5;129
2001;3;31;7,5;349
2001;4;1;5,1;253
2001;4;2;6,6;169
2001;4;3;10,6;169
2001;4;4;15,5;174
2001;4;5;12,8;298
2001;4;6;7,8;242
2001;4;7;10,8;174
2001;4;8;8,9;163
2001;4;9;10,7;22
2001;4;10;5,1;22
2001;4;11;6,4;34
2001;4;12;11,2;292
2001;4;13;13,1;349
2001;4;14;13,2;326
2001;4;15;13,6;197
2001;4;16;13;231
2001;4;17;9,3;321
2001;4;18;9,6;163
2001;4;19;8,7;276
2001;4;20;5,1;96
2001;4;21;;
2001;4;22;;
2001;4;23;6,7;22
2001;4;24;13,3;349
2001;4;25;12,3;152
2001;4;26;12,9;96
2001;4;27;7,9;231
2001;4;28;9,3;242
2001;4;29;11,4;157
2001;4;30;13,3;163
2001;5;1;14,7;157
2001;5;2;8,1;174
2001;5;3;10,9;186
2001;5;4;3,9;349
2001;5;5;9,4;152
2001;5;6;11;22
2001;5;7;12,3;34
2001;5;8;11,7;28
2001;5;9;12,4;17
2001;5;10;10,4;11
2001;5;11;12,1;34
2001;5;12;12,6;39
2001;5;13;8,4;11
2001;5;14;11,5;186
2001;5;15;11,1;180
2001;5;16;7,5;264
2001;5;17;10,7;180
2001;5;18;11,8;281
2001;5;19;10,3;304
2001;5;20;5,2;247
2001;5;21;4;354
2001;5;22;9,3;17
2001;5;23;5,4;118
2001;5;24;8,5;174
2001;5;25;9,8;17
2001;5;26;10,2;34
2001;5;27;10,7;259
2001;5;28;10,8;315
2001;5;29;16,2;354
2001;5;30;11,1;264
2001;5;31;8;146
2001;6;1;9,7;292
2001;6;2;8,6;197
2001;6;3;9,6;202
2001;6;4;6,8;281
2001;6;5;8,2;17
2001;6;6;9,5;236
2001;6;7;7,7;281
2001;6;8;8,9;231
2001;6;9;5,3;360
2001;6;10;6,1;22
2001;6;11;9,3;270
2001;6;12;8;79
2001;6;13;5,1;107
2001;6;14;6,4;22
2001;6;15;4,8;34
2001;6;16;14,9;253
2001;6;17;14,9;253
2001;6;18;9,7;349
2001;6;19;11,4;354
2001;6;20;11,9;354
2001;6;21;7,6;281
2001;6;22;16,4;236
2001;6;23;13,9;253
2001;6;24;10,8;321
2001;6;25;9,7;321
2001;6;26;10,2;6
2001;6;27;5,4;287
2001;6;28;7,5;242
2001;6;29;11,4;17
2001;6;30;6,7;6
2001;7;1;6,8;270
2001;7;2;12,1;321
2001;7;3;8,8;51
2001;7;4;6,5;174
2001;7;5;6,4;67
2001;7;6;9,8;169
2001;7;7;13,7;180
2001;7;8;11;247
2001;7;9;9,9;276
2001;7;10;10,3;304
2001;7;11;11,6;11
2001;7;12;8,8;253
2001;7;13;8,2;101
2001;7;14;9,3;157
2001;7;15;12,2;169
2001;7;16;12,1;169
2001;7;17;9,6;225
2001;7;18;7,2;315
2001;7;19;10,8;146
2001;7;20;18,1;208
2001;7;21;8,9;287
2001;7;22;11,2;343
2001;7;23;8,4;11
2001;7;24;8,7;354
2001;7;25;9,3;337
2001;7;26;12;17
2001;7;27;9,9;17
2001;7;28;8;39
2001;7;29;7,5;28
2001;7;30;6,7;11
2001;7;31;4,3;191
2001;8;1;2,2;304
2001;8;2;6,4;360
2001;8;3;11,9;141
2001;8;4;12,9;276
2001;8;5;8,7;315
2001;8;6;6,5;247
2001;8;7;10,2;253
2001;8;8;10,2;292
2001;8;9;4,2;315
2001;8;10;9,3;321
2001;8;11;9,5;321
2001;8;12;10,2;22
2001;8;13;7;259
2001;8;14;5,4;354
2001;8;15;8,2;146
2001;8;16;10,3;174
2001;8;17;5,6;67
2001;8;18;6;90
2001;8;19;7,6;191
2001;8;20;8,5;247
2001;8;21;5,1;22
2001;8;22;9,5;28
2001;8;23;9,7;39
2001;8;24;6,6;326
2001;8;25;5,5;39
2001;8;26;5,1;22
2001;8;27;12,8;326
2001;8;28;9,9;264
2001;8;29;11,8;332
2001;8;30;7;101
2001;8;31;10,6;197
2001;9;1;11,1;242
2001;9;2;11,2;315
2001;9;3;6,2;242
2001;9;4;9,2;174
2001;9;5;6,5;309
2001;9;6;9,4;349
2001;9;7;9,5;326
2001;9;8;13,5;197
2001;9;9;15,1;264
2001;9;10;13,9;191
2001;9;11;11,7;292
2001;9;12;12,7;214
2001;9;13;8,6;174
2001;9;14;11,3;163
2001;9;15;4,5;326
2001;9;16;11;281
2001;9;17;10,1;11
2001;9;18;9,6;214
2001;9;19;11;163
2001;9;20;9,7;180
2001;9;21;12;270
2001;9;22;3,8;96
2001;9;23;3,8;51
2001;9;24;5,5;118
2001;9;25;6,4;349
2001;9;26;4,7;34
2001;9;27;4,1;270
2001;9;28;8,9;242
2001;9;29;4,7;360
2001;9;30;4,4;118
2001;10;1;8,9;219
2001;10;2;9,2;169
2001;10;3;8,4;101
2001;10;4;8;247
2001;10;5;4,9;45
2001;10;6;5,2;247
2001;10;7;10,9;118
2001;10;8;8,4;169
2001;10;9;2,4;304
2001;10;10;4,1;231
2001;10;11;8,3;259
2001;10;12;5;264
2001;10;13;3,3;253
2001;10;14;2,6;124
2001;10;15;6,2;174
2001;10;16;1,9;28
2001;10;17;4,6;208
2001;10;18;6,6;180
2001;10;19;5,2;112
2001;10;20;8,7;101
2001;10;21;10,4;118
2001;10;22;7,1;242
2001;10;23;4,2;231
2001;10;24;4;62
2001;10;25;4,2;174
2001;10;26;4,9;174
2001;10;27;;
2001;10;28;;
2001;10;29;;
2001;10;30;;
2001;10;31;;
2001;12;1;;
2001;12;2;;
2001;12;3;;
2001;12;4;;
2001;12;5;;
2001;12;6;;
2001;12;7;;
2001;12;8;;
2001;12;9;;
2001;12;10;;
2001;12;11;;
2001;12;12;;
2001;12;13;;
2001;12;14;;
2001;12;15;;
2001;12;16;;
2001;12;17;;
2001;12;18;;
2001;12;19;;
2001;12;20;;
2001;12;21;;
2001;12;22;;
2001;12;23;;
2001;12;24;;
2001;12;25;;
2001;12;26;;
2001;12;27;;
2001;12;28;;
2001;12;29;;
2001;12;30;;
2001;12;31;5,3;332
2002;1;1;15;309
2002;1;2;21,8;309
2002;1;3;12,8;304
2002;1;4;7,2;332
2002;1;5;11,2;332
2002;1;6;14,2;287
2002;1;7;13,8;321
2002;1;8;5,5;343
2002;1;9;4;247
2002;1;10;4,2;225
2002;1;11;4;225
2002;1;12;3,3;270
2002;1;13;1,5;349
2002;1;14;1,6;17
2002;1;15;1,3;202
2002;1;16;1,3;292
2002;1;17;1,4;287
2002;1;18;0,9;264
2002;1;19;2;253
2002;1;20;10,7;253
2002;1;21;14,7;276
2002;1;22;10,9;253
2002;1;23;9,6;236
2002;1;24;10,4;169
2002;1;25;16,7;304
2002;1;26;13,3;208
2002;1;27;18,2;231
2002;1;28;17,3;219
2002;1;29;16,8;247
2002;1;30;11,6;276
2002;1;31;13,1;281
2002;2;1;9,4;231
2002;2;2;9;152
2002;2;3;15,1;141
2002;2;4;10,8;174
2002;2;5;11,5;208
2002;2;6;9,5;191
2002;2;7;7,9;287
2002;2;8;14,4;247
2002;2;9;12,7;225
2002;2;10;15,1;298
2002;2;11;14,2;247
2002;2;12;18;264
2002;2;13;14,6;292
2002;2;14;9,1;349
2002;2;15;10,9;67
2002;2;16;9,4;163
2002;2;17;12,3;174
2002;2;18;10,8;304
2002;2;19;17,2;247
2002;2;20;17,5;225
2002;2;21;17,2;304
2002;2;22;17;202
2002;2;23;17;242
2002;2;24;18,4;292
2002;2;25;11,1;304
2002;2;26;14,7;242
2002;2;27;20,2;281
2002;2;28;16,1;281
2002;3;1;11;236
2002;3;2;7,4;67
2002;3;3;15,5;304
2002;3;4;7,3;292
2002;3;5;14,2;186
2002;3;6;14,8;264
2002;3;7;23;247
2002;3;8;18,1;287
2002;3;9;15,5;186
2002;3;10;18,5;298
2002;3;11;12,8;197
2002;3;12;11,9;208
2002;3;13;10,1;169
2002;3;14;9,1;51
2002;3;15;10,6;45
2002;3;16;8,6;45
2002;3;17;10,8;186
2002;3;18;11,8;169
2002;3;19;12,1;276
2002;3;20;17;281
2002;3;21;15;292
2002;3;22;17,6;298
2002;3;23;16,2;298
2002;3;24;13,3;349
2002;3;25;11,4;349
2002;3;26;10,1;6
2002;3;27;10,3;51
2002;3;28;10,5;28
2002;3;29;7,9;34
2002;3;30;6;152
2002;3;31;6,6;225
2002;4;1;6,9;337
2002;4;2;10,7;62
2002;4;3;13,6;51
2002;4;4;10;34
2002;4;5;14,1;51
2002;4;6;11,8;309
2002;4;7;8,4;264
2002;4;8;9,8;90
2002;4;9;9,5;96
2002;4;10;9,5;67
2002;4;11;15;141
2002;4;12;15,7;129
2002;4;13;11,8;157
2002;4;14;10,5;287
2002;4;15;12,2;276
2002;4;16;6;292
2002;4;17;6,4;67
2002;4;18;9,8;315
2002;4;19;7,5;315
2002;4;20;7;62
2002;4;21;7,5;321
2002;4;22;7,2;22
2002;4;23;11;304
2002;4;24;9,3;304
2002;4;25;6,6;51
2002;4;26;9,2;214
2002;4;27;13,6;264
2002;4;28;14,5;152
2002;4;29;14;197
2002;4;30;11,8;298
2002;5;1;14,1;124
2002;5;2;11,7;152
2002;5;3;14,9;146
2002;5;4;15,6;146
2002;5;5;10,9;112
2002;5;6;9,6;96
2002;5;7;8,1;96
2002;5;8;15,5;135
2002;5;9;16,9;124
2002;5;10;10,6;124
2002;5;11;9,4;141
2002;5;12;9,4;253
2002;5;13;6,3;101
2002;5;14;10,5;321
2002;5;15;9;259
2002;5;16;6,1;202
2002;5;17;9,2;214
2002;5;18;9,2;39
2002;5;19;8,7;298
2002;5;20;7,5;309
2002;5;21;8,9;152
2002;5;22;11;112
2002;5;23;10,1;135
2002;5;24;9,9;276
2002;5;25;6,9;309
2002;5;26;6,7;174
2002;5;27;9,1;101
2002;5;28;12,3;298
2002;5;29;15,3;304
2002;5;30;13,4;309
2002;5;31;6,6;326
2002;6;1;11,1;298
2002;6;2;10,2;326
2002;6;3;7,7;354
2002;6;4;7,2;79
2002;6;5;12,8;129
2002;6;6;11,5;107
2002;6;7;12,3;112
2002;6;8;7,8;231
2002;6;9;5,5;34
2002;6;10;14;298
2002;6;11;15,3;309
2002;6;12;7,2;253
2002;6;13;11,3;202
2002;6;14;12;276
2002;6;15;9,7;321
2002;6;16;9,4;326
2002;6;17;8,9;292
2002;6;18;6,7;73
2002;6;19;9;141
2002;6;20;11,4;118
2002;6;21;22,3;304
2002;6;22;8,6;326
2002;6;23;11;191
2002;6;24;9,1;304
2002;6;25;9,2;292
2002;6;26;4,6;343
2002;6;27;10;202
2002;6;28;11,3;298
2002;6;29;14,3;298
2002;6;30;8,7;180
2002;7;1;11,7;169
2002;7;2;13,2;298
2002;7;3;14,5;281
